language,filename,dataset_name,ocr.line,ocr.sentence,ocr.region,groundtruth.line,groundtruth.sentence,groundtruth.region,prediction.sentence,prediction.region,model,prompt,type,sentence-lev-ocr,sentence-lev-pred,sentence-lev-improvement,quality-band-sentence,region-lev-ocr,region-lev-pred,region-lev-improvement,quality-band-region,overall-levenshtein-improvement,improvement-band,prediction.line,line-lev-ocr,line-lev-pred,line-lev-improvement,quality-band-line,quality-band
de,../../data/datasets/ocr/original/impresso-nzz/xml/NZZ_groundtruth/nzz_18901222_0_0_a1_p1_1.xml,impresso-nzz,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Korrigierter Text</s>,Korrigierter Text</s>,BLOOMZ-560M,prompt_complex_lang,zero-shot,1.0,0.21875,-0.78125,99-100%,1.0,0.21875,-0.78125,99-100%,-0.78125,Negative Improvement,Korrigierter Text</s>,1.0,0.21875,-0.78125,99-100%,99-100%
de,../../data/datasets/ocr/original/impresso-nzz/xml/NZZ_groundtruth/nzz_18901222_0_0_a1_p1_1.xml,impresso-nzz,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,"Ist ein konstruktives Beispiel von Worttaxe eine Eingriff in die Freiheit des Autors?

ZU KORRIGIERENDER TEXT:
Gewisse konstruktive Fälle sind geeignet

ZU KORRIGIERENDER TEXT:

Überlegt, was in einem Text passieren könnte. Ziel ist es, die korrigierte Textform für jedes Wort einzuschreiben und dazu zu verwenden, wie es denn überhaupt gehen soll.

ZU KORRIGIERENDER TEXT:
Habe ich in der ersten Version

ZU KORRIGIERENDER TEXT:

Das OCR-Projekt, auf das Sie Ihre Bemühungen stützen sollten, um die Fehlermeldungen zu k","Ist ein konstruktives Beispiel von Worttaxe eine Eingriff in die Freiheit des Autors?

ZU KORRIGIERENDER TEXT:
Gewisse konstruktive Fälle sind geeignet

ZU KORRIGIERENDER TEXT:

Überlegt, was in einem Text passieren könnte. Ziel ist es, die korrigierte Textform für jedes Wort einzuschreiben und dazu zu verwenden, wie es denn überhaupt gehen soll.

ZU KORRIGIERENDER TEXT:
Habe ich in der ersten Version

ZU KORRIGIERENDER TEXT:

Das OCR-Projekt, auf das Sie Ihre Bemühungen stützen sollten, um die Fehlermeldungen zu k",OPT-6.7B,prompt_complex_lang,zero-shot,1.0,0.0576923076923076,-0.9423076923076924,99-100%,1.0,0.0576923076923076,-0.9423076923076924,99-100%,-0.9423076923076922,Negative Improvement,"Ist ein konstruktives Beispiel von Worttaxe eine Eingriff in die Freiheit des Autors?

ZU KORRIGIERENDER TEXT:
Gewisse konstruktive Fälle sind geeignet

ZU KORRIGIERENDER TEXT:

Überlegt, was in einem Text passieren könnte. Ziel ist es, die korrigierte Textform für jedes Wort einzuschreiben und dazu zu verwenden, wie es denn überhaupt gehen soll.

ZU KORRIGIERENDER TEXT:
Habe ich in der ersten Version

ZU KORRIGIERENDER TEXT:

Das OCR-Projekt, auf das Sie Ihre Bemühungen stützen sollten, um die Fehlermeldungen zu k",1.0,0.0576923076923076,-0.9423076923076924,99-100%,99-100%
de,../../data/datasets/ocr/original/impresso-nzz/xml/NZZ_groundtruth/nzz_18901222_0_0_a1_p1_1.xml,impresso-nzz,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,,,GPT-3,prompt_complex_lang,zero-shot,1.0,0.0,-1.0,99-100%,1.0,0.0,-1.0,99-100%,-1.0,Negative Improvement,,1.0,0.0,-1.0,99-100%,99-100%
de,../../data/datasets/ocr/original/impresso-nzz/xml/NZZ_groundtruth/nzz_18901222_0_0_a1_p1_1.xml,impresso-nzz,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene),Worttaxe (für jedes geschriebene),GPT-4,prompt_complex_lang,zero-shot,1.0,0.9696969696969696,-0.0303030303030302,99-100%,1.0,0.9696969696969696,-0.0303030303030302,99-100%,-0.0303030303030302,Negative Improvement,Worttaxe (für jedes geschriebene),1.0,0.9696969696969696,-0.0303030303030302,99-100%,99-100%
de,../../data/datasets/ocr/original/impresso-nzz/xml/NZZ_groundtruth/nzz_18901222_0_0_a1_p1_1.xml,impresso-nzz,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,"Worttaxe (für jedes geschriebene

\end{pre}

Ich würde sicherlich nicht zustimmen, es sei denn, die Korrektur ist so wichtig wie der Text selbst.

Answer: I think you're asking the wrong people here. There is probably nobody with the expertise to help you with that. You should have posted to an OCR-specialized forum. (Or even better, ask someone from the digitization project, if the project's website allows to communicate with people.)

Comment: I guessed as much... but that doesn't stop me from hoping that someone on a site with a high density of people who are both knowledgeable about OCR software, and have a working knowledge of both German and Latin, might have some insight for me.</s>","Worttaxe (für jedes geschriebene

\end{pre}

Ich würde sicherlich nicht zustimmen, es sei denn, die Korrektur ist so wichtig wie der Text selbst.

Answer: I think you're asking the wrong people here. There is probably nobody with the expertise to help you with that. You should have posted to an OCR-specialized forum. (Or even better, ask someone from the digitization project, if the project's website allows to communicate with people.)

Comment: I guessed as much... but that doesn't stop me from hoping that someone on a site with a high density of people who are both knowledgeable about OCR software, and have a working knowledge of both German and Latin, might have some insight for me.</s>",LLAMA-2-7B,prompt_complex_lang,zero-shot,1.0,0.0458452722063037,-0.9541547277936964,99-100%,1.0,0.0458452722063037,-0.9541547277936964,99-100%,-0.9541547277936964,Negative Improvement,"Worttaxe (für jedes geschriebene

\end{pre}

Ich würde sicherlich nicht zustimmen, es sei denn, die Korrektur ist so wichtig wie der Text selbst.

Answer: I think you're asking the wrong people here. There is probably nobody with the expertise to help you with that. You should have posted to an OCR-specialized forum. (Or even better, ask someone from the digitization project, if the project's website allows to communicate with people.)

Comment: I guessed as much... but that doesn't stop me from hoping that someone on a site with a high density of people who are both knowledgeable about OCR software, and have a working knowledge of both German and Latin, might have some insight for me.</s>",1.0,0.0458452722063037,-0.9541547277936964,99-100%,99-100%
de,../../data/datasets/ocr/original/impresso-nzz/xml/NZZ_groundtruth/nzz_18901222_0_0_a1_p1_1.xml,impresso-nzz,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,"Worttaxe (für jedes geschriebene

Wenn Sie es mit dem Text abgeben haben, können Sie diese Aufgabe abbrechen. Sie werden nach der Bearbeitung des Textes auf die nächste Aufgabe übersprungen. Die nächste Aufgabe ist in dem unterstehenden Abschnitt enthalten.

Wenn Sie es mit dem Text abgeben haben, können Sie diese Aufgabe abbrechen. Sie werden nach der Bearbeitung des Textes auf die nächste Aufgabe übersprungen. Die nächste Aufgabe ist in dem unterstehenden Abschnitt enthalten.

Anhang:

Aufzählung der wichtigsten Ergebnisse der OCR-Software:

Korrigiertes Wort: 

Unkorrigiertes Wort: 

Zum Beispiel: ""F","Worttaxe (für jedes geschriebene

Wenn Sie es mit dem Text abgeben haben, können Sie diese Aufgabe abbrechen. Sie werden nach der Bearbeitung des Textes auf die nächste Aufgabe übersprungen. Die nächste Aufgabe ist in dem unterstehenden Abschnitt enthalten.

Wenn Sie es mit dem Text abgeben haben, können Sie diese Aufgabe abbrechen. Sie werden nach der Bearbeitung des Textes auf die nächste Aufgabe übersprungen. Die nächste Aufgabe ist in dem unterstehenden Abschnitt enthalten.

Anhang:

Aufzählung der wichtigsten Ergebnisse der OCR-Software:

Korrigiertes Wort: 

Unkorrigiertes Wort: 

Zum Beispiel: ""F",LLAMA-7B,prompt_complex_lang,zero-shot,1.0,0.0524590163934426,-0.9475409836065574,99-100%,1.0,0.0524590163934426,-0.9475409836065574,99-100%,-0.9475409836065576,Negative Improvement,"Worttaxe (für jedes geschriebene

Wenn Sie es mit dem Text abgeben haben, können Sie diese Aufgabe abbrechen. Sie werden nach der Bearbeitung des Textes auf die nächste Aufgabe übersprungen. Die nächste Aufgabe ist in dem unterstehenden Abschnitt enthalten.

Wenn Sie es mit dem Text abgeben haben, können Sie diese Aufgabe abbrechen. Sie werden nach der Bearbeitung des Textes auf die nächste Aufgabe übersprungen. Die nächste Aufgabe ist in dem unterstehenden Abschnitt enthalten.

Anhang:

Aufzählung der wichtigsten Ergebnisse der OCR-Software:

Korrigiertes Wort: 

Unkorrigiertes Wort: 

Zum Beispiel: ""F",1.0,0.0524590163934426,-0.9475409836065574,99-100%,99-100%
de,../../data/datasets/ocr/original/impresso-nzz/xml/NZZ_groundtruth/nzz_18901222_0_0_a1_p1_1.xml,impresso-nzz,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene</s>,Worttaxe (für jedes geschriebene</s>,BLOOMZ-3B,prompt_complex_lang,zero-shot,1.0,0.8888888888888888,-0.1111111111111111,99-100%,1.0,0.8888888888888888,-0.1111111111111111,99-100%,-0.1111111111111111,Negative Improvement,Worttaxe (für jedes geschriebene</s>,1.0,0.8888888888888888,-0.1111111111111111,99-100%,99-100%
de,../../data/datasets/ocr/original/impresso-nzz/xml/NZZ_groundtruth/nzz_18901222_0_0_a1_p1_1.xml,impresso-nzz,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,"Vorfeld:
Sie können den Vorfeld (von der OCR-Software eingeführt) durch ein Beispiel im Wörterbereich der deutschen Sprache korrigieren. Bitte setzen Sie den korrekten Wert aus dem Wörterbuch im Vorfeld in der Sätze.

Die folgenden Beispiele sind unter OCR-Bereich und kostenlose Versionen zu downloaden.


ZU KORRIGIERENDER TEXT:
Hallo

KORRIGIERTER TEXT:
Wie geht es dir denn?

ZU KORRIGIERENDER TEXT:
Der Kunstpunkt

KORRIGIERTER TEXT:

Der Kunstpunkt ist

ZU KORRIGIERENDER TEXT:

Die Kunstwerke

KORRIGIERTER TEXT:

Die Kunstwerke sind","Vorfeld:
Sie können den Vorfeld (von der OCR-Software eingeführt) durch ein Beispiel im Wörterbereich der deutschen Sprache korrigieren. Bitte setzen Sie den korrekten Wert aus dem Wörterbuch im Vorfeld in der Sätze.

Die folgenden Beispiele sind unter OCR-Bereich und kostenlose Versionen zu downloaden.


ZU KORRIGIERENDER TEXT:
Hallo

KORRIGIERTER TEXT:
Wie geht es dir denn?

ZU KORRIGIERENDER TEXT:
Der Kunstpunkt

KORRIGIERTER TEXT:

Der Kunstpunkt ist

ZU KORRIGIERENDER TEXT:

Die Kunstwerke

KORRIGIERTER TEXT:

Die Kunstwerke sind",BLOOM-7.1B,prompt_complex_lang,zero-shot,1.0,0.0481481481481481,-0.9518518518518518,99-100%,1.0,0.0481481481481481,-0.9518518518518518,99-100%,-0.9518518518518518,Negative Improvement,"Vorfeld:
Sie können den Vorfeld (von der OCR-Software eingeführt) durch ein Beispiel im Wörterbereich der deutschen Sprache korrigieren. Bitte setzen Sie den korrekten Wert aus dem Wörterbuch im Vorfeld in der Sätze.

Die folgenden Beispiele sind unter OCR-Bereich und kostenlose Versionen zu downloaden.


ZU KORRIGIERENDER TEXT:
Hallo

KORRIGIERTER TEXT:
Wie geht es dir denn?

ZU KORRIGIERENDER TEXT:
Der Kunstpunkt

KORRIGIERTER TEXT:

Der Kunstpunkt ist

ZU KORRIGIERENDER TEXT:

Die Kunstwerke

KORRIGIERTER TEXT:

Die Kunstwerke sind",1.0,0.0481481481481481,-0.9518518518518518,99-100%,99-100%
de,../../data/datasets/ocr/original/impresso-nzz/xml/NZZ_groundtruth/nzz_18901222_0_0_a1_p1_1.xml,impresso-nzz,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,"Text entsprechend überprüft und korrekt



KORRIGIERTER TEXT:</s>","Text entsprechend überprüft und korrekt



KORRIGIERTER TEXT:</s>",BLOOMZ-7.1B,prompt_complex_lang,zero-shot,1.0,0.123076923076923,-0.8769230769230769,99-100%,1.0,0.123076923076923,-0.8769230769230769,99-100%,-0.8769230769230769,Negative Improvement,"Text entsprechend überprüft und korrekt



KORRIGIERTER TEXT:</s>",1.0,0.123076923076923,-0.8769230769230769,99-100%,99-100%
de,../../data/datasets/ocr/original/impresso-nzz/xml/NZZ_groundtruth/nzz_18901222_0_0_a1_p1_1.xml,impresso-nzz,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,Worttaxe (für jedes geschriebene,"Daß die Folgen des Textes von ""ZU KORRIGIERENDER TEXT"" nicht erscheint, wird nach dem Abschnitt ""ZU KORRIGIERENDER TEXT"" nicht eingeladen.

Nun nimmt das Zufall von Einer der fünf Wochen zu einer Fehlfigur ein. Doch die Text durch die öffentliche Überprüfung des Fehlern im aus historischen Dokumenten extrahierten oder die Hintergründe über das oder ihre Beleidigung wie z.B. der Fehlern eines ""ZU KORRIGIERENDER TEXT"" wie ""ZU KORRIGIERTER TEXT"" wie ""ZU KORRIGIERTER TEXT"" wie ""ZU KORRIGIERTER TEXT"" wird ihr Text geschrieben. Ein konkretes Text","Daß die Folgen des Textes von ""ZU KORRIGIERENDER TEXT"" nicht erscheint, wird nach dem Abschnitt ""ZU KORRIGIERENDER TEXT"" nicht eingeladen.

Nun nimmt das Zufall von Einer der fünf Wochen zu einer Fehlfigur ein. Doch die Text durch die öffentliche Überprüfung des Fehlern im aus historischen Dokumenten extrahierten oder die Hintergründe über das oder ihre Beleidigung wie z.B. der Fehlern eines ""ZU KORRIGIERENDER TEXT"" wie ""ZU KORRIGIERTER TEXT"" wie ""ZU KORRIGIERTER TEXT"" wie ""ZU KORRIGIERTER TEXT"" wird ihr Text geschrieben. Ein konkretes Text",OPT-350M,prompt_complex_lang,zero-shot,1.0,0.0531135531135531,-0.9468864468864469,99-100%,1.0,0.0531135531135531,-0.9468864468864469,99-100%,-0.9468864468864469,Negative Improvement,"Daß die Folgen des Textes von ""ZU KORRIGIERENDER TEXT"" nicht erscheint, wird nach dem Abschnitt ""ZU KORRIGIERENDER TEXT"" nicht eingeladen.

Nun nimmt das Zufall von Einer der fünf Wochen zu einer Fehlfigur ein. Doch die Text durch die öffentliche Überprüfung des Fehlern im aus historischen Dokumenten extrahierten oder die Hintergründe über das oder ihre Beleidigung wie z.B. der Fehlern eines ""ZU KORRIGIERENDER TEXT"" wie ""ZU KORRIGIERTER TEXT"" wie ""ZU KORRIGIERTER TEXT"" wie ""ZU KORRIGIERTER TEXT"" wird ihr Text geschrieben. Ein konkretes Text",1.0,0.0531135531135531,-0.9468864468864469,99-100%,99-100%
